"","prim_key","car1","car3","car5","RoA","log_total_asset","SUE_earcalldate","leverage","GVKEY","fyear_qtr","cogs_growth_last_year_qtr","sales_growth_last_year_qtr","cash_ratio","debt_assets","debt_capital","cogs_growth_last_qtr","sales_growth_last_qtr","doc_tot_toks_num_pr","doc_tot_toks_num_qna","doc_sents_num_pr","doc_sents_num_qna","ebitda","workingcap","oper_lev","quick_ratio","curr_ratio","cash_conversion","inv_turn","asset_turn","doc_wl_sents_num_pr","doc_wl_sents_num_qna","filt_wl_toks_pr","filt_wl_toks_qna","doc_wl_senti_mean_pr","doc_wl_senti_std_pr","doc_wl_lex_vol_pr","doc_wl_ttr_pr","doc_wl_mtld_pr","doc_wl_senti_mean_qna","doc_wl_senti_std_qna","doc_wl_lex_vol_qna","doc_wl_ttr_qna","doc_wl_mtld_qna","doc_senti_pr","doc_senti_qna","fogIndex_pr","fogIndex_qna"
"1","GV_180279_2010Q1",0.0341962974,0.020179238,0.00221328639999999,-1.32023161626954,-1.30617062289624,NA,0.034554072295975,"GV_180279","2010Q1",-0.251674394641937,0.154344889689329,0.306,1.038,1.048,-0.0684624017957352,-0.0534244046520214,3920,4683,146,210,9.929,51.946,-8.742710997,1.785,2.041,105.863,2.264,0.648,15,10,21,15,0.666473333333333,0.232353408369562,467,0.423982869379015,58.0506297582519,0.330267123287671,0.371162485403329,2475,0.251717171717172,73.1563184745976,0.095,0.13,15.96,20.38
"2","GV_025180_2008Q1",-0.111200951,-0.161409464,-0.204196003,0.109515466335655,0.294777699044152,0.0946686673366683,-0.00490117203301656,"GV_025180","2008Q1",0.325114995400184,0.340687378057932,0.163,0.581,0.435,-0.186444507201355,-0.17709916632122,2673,6597,117,354,130.2,702.3,6.711495116,0.762,1.306,60.565,5.022,1.534,17,12,27,24,0.581805882352941,0.247569392975455,356,0.477528089887641,74.3631552193284,0.257211515151515,0.348031851536129,3734,0.19309051955008,82.3076596156952,NA,NA,12.52,14.87
"3","GV_025180_2009Q1",-0.070365286,0.020905846,0.097070235,0.0254553896927612,0.247730901881105,-0.1449979313998,-0.00495784762649462,"GV_025180","2009Q1",-0.141766176062205,-0.142113511698198,0.202,0.573,0.427,-0.293034427542034,-0.289495642499536,8512,1,360,1,86.9,1055,-5.312651646,0.816,1.519,52.256,5.386,1.729,16,0,29,0,0.387475,0.36827425016329,437,0.489702517162471,101.282250488269,0,0,1,1,0,0.082,0,15.18,0.4
"4","GV_025180_2010Q1",-0.058702162,-0.066542403,-0.076201754,-0.0731815723709906,0.281513165317859,-0.160188665512172,-0.004882990973019,"GV_025180","2010Q1",-0.133958906325837,-0.133424675409408,0.218,0.519,0.359,-0.298335299515009,-0.273095446584939,2603,4120,119,199,48.5,1075.3,-10.99503311,0.932,1.623,73.042,4.213,1.324,14,20,32,27,0.502057142857143,0.31492659392379,311,0.434083601286174,58.9948545465796,0.251020930232558,0.319010271682785,1896,0.253691983122363,104.883653713279,0.071,0.096,13,13.52
"5","GV_025180_2011Q1",0.048669396,0.066917447,0.057500949,0.153574512866788,0.369422138975821,0.359691635888154,-0.00510322929923825,"GV_025180","2011Q1",0.312721838221558,0.353485920795061,0.272,0.516,0.353,-0.183191909798907,-0.17080258302583,2247,797,101,45,149.7,1109.5,6.016398929,0.987,1.632,79.688,4.546,1.314,19,2,32,2,0.598494736842105,0.174418715463948,412,0.37621359223301,48.5447824555612,0.250126666666667,0.369484475735482,298,0.546979865771812,95.5649974709155,0.137,0.083,13.73,10.46
"6","GV_025180_2012Q1",0.039331715,0.013822642,0.015099677,0.18517714996357,0.543247935780073,0.146581366878339,-0.00450062289730226,"GV_025180","2012Q1",0.236160523694322,0.264782777994103,0.249,0.544,0.396,-0.109989754098361,-0.0969497180077847,2591,5117,112,235,225.4,1509.4,5.114035088,0.954,1.661,70.867,4.902,1.382,13,15,29,20,0.466361538461539,0.344138871044964,339,0.471976401179941,81.0198063380282,0.271649137931035,0.329378884647186,2569,0.232386142467886,93.6066383926536,0.093,0.118,16.58,12.35
"7","GV_025180_2013Q1",0.021439487,0.041730965,0.068095093,0.169155861375685,0.565024151779736,-0.0359411612372467,-0.00470692314862745,"GV_025180","2013Q1",0.0473723594082772,0.0569116418173022,0.217,0.556,0.409,-0.141860026410111,-0.111082340756085,2490,4308,108,236,239.8,1691.5,8.910270671,0.914,1.604,69.404,4.695,1.33,13,15,26,25,0.513723076923077,0.317685835781846,291,0.525773195876289,79.3458165472751,0.227609174311927,0.301144417041148,2086,0.244007670182167,85.2207896611541,0.096,0.109,14.46,11.9
"8","GV_025180_2009Q2",-0.007804806,0.053018395,0.048132583,0.111650485871831,0.2749121647283,-0.345994656006971,-0.00502378918219081,"GV_025180","2009Q2",-0.251718612704812,-0.26233614427653,0.171,0.565,0.415,0.171088820579194,0.152867488745351,3033,6095,128,250,113,1047.9,8.028169014,0.728,1.449,68.085,4.42,1.622,12,14,23,17,0.407433333333333,0.383491724062257,263,0.513307984790874,76.8315917626995,0.177268217054264,0.384905108432686,3469,0.215335831651773,90.5831429579918,0.02,0.069,14.08,13.52
"9","GV_025180_2010Q2",0.048374793,0.07087477,0.124306026,0.128734376622263,0.28548601094088,0.00164616237506214,-0.00491930242699014,"GV_025180","2010Q2",-0.0397872487393798,-0.0135823429541596,0.27,0.523,0.364,0.298430786474874,0.312302364101792,2727,5093,121,230,133.1,1120.4,52.18562874,0.836,1.627,97.434,3.838,1.276,14,16,28,32,0.561585714285714,0.266317880786052,306,0.42156862745098,49.6909650924025,0.236347457627119,0.340881735441463,2781,0.21826681049982,93.0559603335362,0.076,0.077,13.07,15.16
"10","GV_025180_2011Q2",-0.043491631,-0.021669354,-0.0570916,0.298071898718266,0.416183545236491,0.302462557330745,-0.00511923891323298,"GV_025180","2011Q2",0.318682109200777,0.353184165232358,0.259,0.508,0.343,0.304326170485271,0.31200979028759,2513,5541,110,215,242.8,1428.8,4.983308684,0.886,1.613,88.072,4.22,1.379,13,15,28,28,0.659107692307692,0.165372183581653,289,0.463667820069204,77.118722186904,0.23061592920354,0.319246084707609,3158,0.202026599113363,86.3619269849341,0.126,0.084,14.69,15.14
